"subid","order","trial_num","target1side","target2side","qtype1","qtype2","correct1","correct2","date","time"
"100713-01","1",0,"L","R","mean","nice",1,1,"7/13/2018","8:51"
"100713-01","1",1,"L",NA,"polite","nice",1,NA,"7/13/2018","8:51"
"100713-01","1",2,"L",NA,"nice","nice",1,NA,"7/13/2018","8:51"
"100713-01","1",3,"L",NA,"mean","nice",1,NA,"7/13/2018","8:51"
"100713-01","1",4,"L",NA,"nice","nice",0,NA,"7/13/2018","8:51"
"100713-01","1",5,"L",NA,"mean","nice",0,NA,"7/13/2018","8:51"
"100713-01","1",6,"L",NA,"polite","nice",0,NA,"7/13/2018","8:51"
"100713-01","1",7,"L",NA,"nice","nice",0,NA,"7/13/2018","8:51"
"100713-01","1",8,"L",NA,"mean","nice",0,NA,"7/13/2018","8:51"
"100713-01","1",9,"L",NA,"rude","nice",1,NA,"7/13/2018","8:51"
"100713-01","1",10,"L",NA,"polite","nice",1,NA,"7/13/2018","8:51"
"100713-01","1",11,"L",NA,"rude","nice",0,NA,"7/13/2018","8:51"
"100713-01","1",12,"L",NA,"rude","nice",1,NA,"7/13/2018","8:51"
"180417-01","1",0,"L","R","mean","nice",1,1,"4/17/2018","9:37"
"180417-01","1",1,"L",NA,"polite","nice",1,NA,"4/17/2018","9:37"
"180417-01","1",2,"L",NA,"nice","nice",1,NA,"4/17/2018","9:37"
"180417-01","1",3,"L",NA,"mean","nice",1,NA,"4/17/2018","9:37"
"180417-01","1",4,"L",NA,"nice","nice",0,NA,"4/17/2018","9:37"
"180417-01","1",5,"L",NA,"mean","nice",0,NA,"4/17/2018","9:37"
"180417-01","1",6,"L",NA,"polite","nice",0,NA,"4/17/2018","9:37"
"180417-01","1",7,"L",NA,"nice","nice",0,NA,"4/17/2018","9:37"
"180417-01","1",8,"L",NA,"mean","nice",0,NA,"4/17/2018","9:37"
"180417-01","1",9,"L",NA,"rude","nice",1,NA,"4/17/2018","9:37"
"180417-01","1",10,"L",NA,"polite","nice",1,NA,"4/17/2018","9:37"
"180417-01","1",11,"L",NA,"rude","nice",0,NA,"4/17/2018","9:37"
"180417-01","1",12,"L",NA,"rude","nice",1,NA,"4/17/2018","9:37"
"180417-02","1",0,"L","R","mean","nice",1,1,"4/17/2018","9:59"
"180417-02","1",1,"R",NA,"polite","nice",0,NA,"4/17/2018","9:59"
"180417-02","1",2,"L",NA,"nice","nice",0,NA,"4/17/2018","9:59"
"180417-02","1",3,"L",NA,"mean","nice",1,NA,"4/17/2018","9:59"
"180417-02","1",4,"L",NA,"nice","nice",0,NA,"4/17/2018","9:59"
"180417-02","1",5,"L",NA,"mean","nice",0,NA,"4/17/2018","9:59"
"180417-02","1",6,"L",NA,"polite","nice",0,NA,"4/17/2018","9:59"
"180417-02","1",7,"R",NA,"nice","nice",1,NA,"4/17/2018","9:59"
"180417-02","1",8,"R",NA,"mean","nice",1,NA,"4/17/2018","9:59"
"180417-02","1",9,"L",NA,"rude","nice",1,NA,"4/17/2018","9:59"
"180417-02","1",10,"L",NA,"polite","nice",1,NA,"4/17/2018","9:59"
"180417-02","1",11,"L",NA,"rude","nice",0,NA,"4/17/2018","9:59"
"180417-02","1",12,"R",NA,"rude","nice",0,NA,"4/17/2018","9:59"
"180417-03","1",0,"L","R","mean","nice",1,1,"4/17/2018","11:00"
"180417-03","1",1,"L",NA,"polite","nice",1,NA,"4/17/2018","11:00"
"180417-03","1",2,"L",NA,"nice","nice",1,NA,"4/17/2018","11:00"
"180417-03","1",3,"L",NA,"mean","nice",1,NA,"4/17/2018","11:00"
"180417-03","1",4,"R",NA,"nice","nice",1,NA,"4/17/2018","11:00"
"180417-03","1",5,"L",NA,"mean","nice",0,NA,"4/17/2018","11:00"
"180417-03","1",6,"R",NA,"polite","nice",1,NA,"4/17/2018","11:00"
"180417-03","1",7,"R",NA,"nice","nice",1,NA,"4/17/2018","11:00"
"180417-03","1",8,"L",NA,"mean","nice",0,NA,"4/17/2018","11:00"
"180417-03","1",9,"L",NA,"rude","nice",1,NA,"4/17/2018","11:00"
"180417-03","1",10,"R",NA,"polite","nice",0,NA,"4/17/2018","11:00"
"180417-03","1",11,"R",NA,"rude","nice",1,NA,"4/17/2018","11:00"
"180417-03","1",12,"L",NA,"rude","nice",1,NA,"4/17/2018","11:00"
"180419-01","1",0,"L","R","mean","nice",1,1,"4/19/2018","8:36"
"180419-01","2",0,"R","L","mean","nice",1,1,"4/19/2018","8:43"
"180419-01","2",1,"R",NA,"polite","nice",1,NA,"4/19/2018","8:43"
"180419-01","2",2,"R",NA,"rude","nice",0,NA,"4/19/2018","8:43"
"180419-01","2",3,"R",NA,"rude","nice",1,NA,"4/19/2018","8:43"
"180419-01","2",4,"R",NA,"polite","nice",1,NA,"4/19/2018","8:43"
"180419-01","2",5,"R",NA,"rude","nice",1,NA,"4/19/2018","8:43"
"180419-01","2",6,"L",NA,"polite","nice",1,NA,"4/19/2018","8:43"
"180419-01","2",7,"R",NA,"rude","nice",1,NA,"4/19/2018","8:43"
"180419-01","2",8,"R",NA,"polite","nice",1,NA,"4/19/2018","8:43"
"180419-01","2",9,"R",NA,"rude","nice",1,NA,"4/19/2018","8:43"
"180419-01","2",10,"L",NA,"polite","nice",1,NA,"4/19/2018","8:43"
"180419-01","2",11,"R",NA,"rude","nice",0,NA,"4/19/2018","8:43"
"180419-01","2",12,"R",NA,"polite","nice",1,NA,"4/19/2018","8:43"
"180419-02","1",0,"L","R","mean","nice",1,1,"4/19/2018","8:54"
"180419-02","1",1,"R",NA,"polite","nice",0,NA,"4/19/2018","8:54"
"180419-02","1",2,"L",NA,"nice","nice",1,NA,"4/19/2018","8:54"
"180419-02","1",3,"L",NA,"mean","nice",1,NA,"4/19/2018","8:54"
"180419-02","1",4,"L",NA,"nice","nice",0,NA,"4/19/2018","8:54"
"180419-02","1",5,"R",NA,"mean","nice",1,NA,"4/19/2018","8:54"
"180419-02","1",6,"R",NA,"polite","nice",0,NA,"4/19/2018","8:54"
"180419-02","1",7,"L",NA,"nice","nice",1,NA,"4/19/2018","8:54"
"180419-02","1",8,"R",NA,"mean","nice",1,NA,"4/19/2018","8:54"
"180419-02","1",9,"L",NA,"rude","nice",1,NA,"4/19/2018","8:54"
"180419-02","1",10,"L",NA,"polite","nice",1,NA,"4/19/2018","8:54"
"180419-02","1",11,"R",NA,"rude","nice",1,NA,"4/19/2018","8:54"
"180419-02","1",12,"L",NA,"rude","nice",1,NA,"4/19/2018","8:54"
"180420-01","2",0,"R","L","mean","nice",1,1,"4/20/2018","9:30"
"180420-01","2",1,"R",NA,"polite","nice",1,NA,"4/20/2018","9:30"
"180420-01","2",2,"L",NA,"rude","nice",1,NA,"4/20/2018","9:30"
"180424-01","1",0,"L","R","mean","nice",1,1,"4/24/2018","8:39"
"180424-01","1",1,"R",NA,"polite","nice",0,NA,"4/24/2018","8:39"
"180424-01","1",2,"L",NA,"nice","nice",1,NA,"4/24/2018","8:39"
"180424-01","1",3,"R",NA,"mean","nice",0,NA,"4/24/2018","8:39"
"180424-01","1",4,"R",NA,"nice","nice",1,NA,"4/24/2018","8:39"
"180424-01","1",5,"L",NA,"mean","nice",0,NA,"4/24/2018","8:39"
"180424-01","1",6,"R",NA,"polite","nice",1,NA,"4/24/2018","8:39"
"180424-01","1",7,"R",NA,"nice","nice",1,NA,"4/24/2018","8:39"
"180424-01","1",8,"L",NA,"mean","nice",0,NA,"4/24/2018","8:39"
"180424-01","1",9,"R",NA,"rude","nice",0,NA,"4/24/2018","8:39"
"180424-01","1",10,"L",NA,"polite","nice",1,NA,"4/24/2018","8:39"
"180424-01","1",11,"L",NA,"rude","nice",0,NA,"4/24/2018","8:39"
"180424-01","1",12,"R",NA,"rude","nice",0,NA,"4/24/2018","8:39"
"180424-02","1",0,"L","R","mean","nice",1,1,"4/24/2018","9:38"
"180424-02","1",1,"L",NA,"polite","nice",1,NA,"4/24/2018","9:38"
"180424-02","1",2,"L",NA,"nice","nice",1,NA,"4/24/2018","9:38"
"180424-02","1",3,"L",NA,"mean","nice",1,NA,"4/24/2018","9:38"
"180424-02","1",4,"R",NA,"nice","nice",1,NA,"4/24/2018","9:38"
"180424-02","1",5,"R",NA,"mean","nice",1,NA,"4/24/2018","9:38"
"180424-02","1",6,"R",NA,"polite","nice",1,NA,"4/24/2018","9:38"
"180424-02","1",7,"R",NA,"nice","nice",1,NA,"4/24/2018","9:38"
"180424-02","1",8,"R",NA,"mean","nice",1,NA,"4/24/2018","9:38"
"180424-02","1",9,"L",NA,"rude","nice",1,NA,"4/24/2018","9:38"
"180424-02","1",10,"R",NA,"polite","nice",0,NA,"4/24/2018","9:38"
"180424-02","1",11,"R",NA,"rude","nice",1,NA,"4/24/2018","9:38"
"180424-02","1",12,"L",NA,"rude","nice",1,NA,"4/24/2018","9:38"
"180426-01","1",0,"L","R","mean","nice",1,1,"4/26/2018","8:35"
"180426-01","1",1,"R",NA,"polite","nice",0,NA,"4/26/2018","8:35"
"180426-01","1",2,"L",NA,"nice","nice",1,NA,"4/26/2018","8:35"
"180426-01","1",3,"R",NA,"mean","nice",0,NA,"4/26/2018","8:35"
"180426-01","1",4,"R",NA,"nice","nice",1,NA,"4/26/2018","8:35"
"180426-01","1",5,"L",NA,"mean","nice",0,NA,"4/26/2018","8:35"
"180426-01","1",6,"R",NA,"polite","nice",1,NA,"4/26/2018","8:35"
"180426-01","1",7,"L",NA,"nice","nice",0,NA,"4/26/2018","8:35"
"180426-01","1",8,"L",NA,"mean","nice",0,NA,"4/26/2018","8:35"
"180426-01","1",9,"L",NA,"rude","nice",1,NA,"4/26/2018","8:35"
"180426-01","1",10,"R",NA,"polite","nice",0,NA,"4/26/2018","8:35"
"180426-01","1",11,"R",NA,"rude","nice",1,NA,"4/26/2018","8:35"
"180426-01","1",12,"L",NA,"rude","nice",1,NA,"4/26/2018","8:35"
"180426-02","2",0,"R","L","mean","nice",1,1,"4/26/2018","9:21"
"180426-02","2",1,"L",NA,"polite","nice",0,NA,"4/26/2018","9:21"
"180426-02","2",2,"L",NA,"rude","nice",1,NA,"4/26/2018","9:21"
"180426-02","2",3,"R",NA,"rude","nice",1,NA,"4/26/2018","9:21"
"180426-02","2",4,"L",NA,"polite","nice",0,NA,"4/26/2018","9:21"
"180426-02","2",5,"R",NA,"rude","nice",1,NA,"4/26/2018","9:21"
"180426-02","2",6,"L",NA,"polite","nice",1,NA,"4/26/2018","9:21"
"180426-02","2",7,"R",NA,"rude","nice",1,NA,"4/26/2018","9:21"
"180426-02","2",8,"R",NA,"polite","nice",1,NA,"4/26/2018","9:21"
"180426-02","2",9,"R",NA,"rude","nice",1,NA,"4/26/2018","9:21"
"180426-02","2",10,"R",NA,"polite","nice",0,NA,"4/26/2018","9:21"
"180426-02","2",11,"L",NA,"rude","nice",1,NA,"4/26/2018","9:21"
"180426-02","2",12,"R",NA,"polite","nice",1,NA,"4/26/2018","9:21"
"180426-03","1",0,"L","R","mean","nice",1,1,"4/26/2018","9:42"
"180426-03","1",3,"L",NA,"mean","nice",1,NA,"4/26/2018","9:42"
"180426-03","1",1,"L",NA,"polite","nice",1,NA,"4/26/2018","9:42"
"180426-03","1",2,"L",NA,"nice","nice",1,NA,"4/26/2018","9:42"
"180426-03","1",4,"L",NA,"nice","nice",0,NA,"4/26/2018","9:42"
"180426-03","1",5,"L",NA,"mean","nice",0,NA,"4/26/2018","9:42"
"180426-03","1",6,"R",NA,"polite","nice",1,NA,"4/26/2018","9:42"
"180426-03","1",7,"R",NA,"nice","nice",1,NA,"4/26/2018","9:42"
"180426-03","1",8,"R",NA,"mean","nice",1,NA,"4/26/2018","9:42"
