170215-01,2,0,R,L,mean,nice,1,1,2/15/2017,8:57
170215-01,2,1,R,L,polite,comp,1,0,2/15/2017,8:57
170215-01,2,2,R,L,rude,play,0,0,2/15/2017,8:57
170215-01,2,3,L,R,mean,play,0,0,2/15/2017,8:57
170215-01,2,4,L,R,nice,play,0,1,2/15/2017,8:57
170215-01,2,5,L,R,rude,undefined,0,0,2/15/2017,8:57
170215-01,2,6,L,L,polite,comp,1,1,2/15/2017,8:57
170215-01,2,7,L,R,rude,comp,0,0,2/15/2017,8:57
170215-01,2,8,L,R,nice,play,0,1,2/15/2017,8:57
170215-01,2,9,L,R,mean,comp,0,0,2/15/2017,8:57
170215-01,2,10,L,R,nice,comp,1,0,2/15/2017,8:57
170215-01,2,11,L,R,mean,play,1,1,2/15/2017,8:57
170215-01,2,12,R,L,polite,comp,1,0,2/15/2017,8:57
