170228-02,2,0,L,L,mean,nice,0,1,2/28/2017,13:52
170228-02,2,1,R,R,polite,comp,1,1,2/28/2017,13:52
170228-02,2,2,L,R,rude,play,1,1,2/28/2017,13:52
170228-02,2,3,R,L,mean,play,1,1,2/28/2017,13:52
170228-02,2,4,R,R,nice,play,1,1,2/28/2017,13:52
170228-02,2,5,L,R,rude,undefined,0,0,2/28/2017,13:52
170228-02,2,6,L,L,polite,comp,1,1,2/28/2017,13:52
170228-02,2,7,R,L,rude,comp,1,1,2/28/2017,13:52
170228-02,2,8,R,R,nice,play,1,1,2/28/2017,13:52
170228-02,2,9,R,L,mean,comp,1,1,2/28/2017,13:52
170228-02,2,10,L,L,nice,comp,1,1,2/28/2017,13:52
170228-02,2,11,L,R,mean,play,1,1,2/28/2017,13:52
170228-02,2,12,R,R,polite,comp,1,1,2/28/2017,13:52
