180529-01,1,0,L,R,mean,nice,1,1,5/29/2018,8:47
180529-01,1,1,L,NA,polite,nice,1,NA,5/29/2018,8:47
180529-01,1,2,L,NA,nice,nice,1,NA,5/29/2018,8:47
180529-01,1,3,R,NA,mean,nice,0,NA,5/29/2018,8:47
180529-01,1,4,R,NA,nice,nice,1,NA,5/29/2018,8:47
180529-01,1,5,L,NA,mean,nice,0,NA,5/29/2018,8:47
180529-01,1,6,R,NA,polite,nice,1,NA,5/29/2018,8:47
180529-01,1,7,L,NA,nice,nice,0,NA,5/29/2018,8:47
180529-01,1,8,R,NA,mean,nice,1,NA,5/29/2018,8:47
180529-01,1,9,L,NA,rude,nice,1,NA,5/29/2018,8:47
180529-01,1,10,L,NA,polite,nice,1,NA,5/29/2018,8:47
180529-01,1,11,R,NA,rude,nice,1,NA,5/29/2018,8:47
180529-01,1,12,R,NA,rude,nice,0,NA,5/29/2018,8:47
