180727-03,1,0,L,R,mean,nice,1,1,7/27/2018,10:49
180727-03,1,1,R,NA,polite,nice,0,NA,7/27/2018,10:49
180727-03,1,2,R,NA,nice,nice,0,NA,7/27/2018,10:49
180727-03,1,3,R,NA,mean,nice,0,NA,7/27/2018,10:49
180727-03,1,4,L,NA,nice,nice,0,NA,7/27/2018,10:49
180727-03,1,5,L,NA,mean,nice,0,NA,7/27/2018,10:49
180727-03,1,6,L,NA,polite,nice,0,NA,7/27/2018,10:49
180727-03,1,7,L,NA,nice,nice,0,NA,7/27/2018,10:49
180727-03,1,8,L,NA,mean,nice,0,NA,7/27/2018,10:49
180727-03,1,9,R,NA,rude,nice,0,NA,7/27/2018,10:49
180727-03,1,10,R,NA,polite,nice,0,NA,7/27/2018,10:49
180727-03,1,11,R,NA,rude,nice,1,NA,7/27/2018,10:49
180727-03,1,12,L,NA,rude,nice,1,NA,7/27/2018,10:49
