speaker_voice,Item_simple,Politeness,Intensity,Mean Pitch,Max Pitch,order,trial,speaker,Syntax,Item,Listener,Speaker,audio_start,audio_lengthj,OLD_audio_start_time,OLD_audio_length,incorrect iPad audio,,sound_file_name
benny,game,Direct,62.20848564,131.5979242,218.422163,2,5,2,Imp,play game,Lucy,Joe,122.276,2.257,10.996,1.661,"""me how to play your game""",,order1_test3_speaker2
kara,scissors,Polite,64.04841263,257.5798745,309.6489,2,6,1,Please IDQ,hand over scissors,Chris,Mia,126.174,2.411,64.761,2.052,"""Hand me the scissors. Cou""",,order2_test11_speaker1
danielle,scissors,Direct,69.38496757,268.8474338,337.2838485,2,6,2,Imp,hand over scissors,Chris,Jean,130.277,2.052,33.961,1.314,"""running inside. Han""",,order1_test2_speaker1
benny,singing,Polite,62.84043874,136.4318704,176.3509653,2,7,1,Please IDQ,stop singing,Kathy,Andy,133.919,2.205,23.951,1.605,"""stop singing""",,order2_test4_speaker1
kyle,singing,Direct,69.03038765,204.0938772,263.2532963,2,7,2,Imp,stop singing,Kathy,Josh,137.817,1.539,102.584,0.855,"""elp me with this puzzle?""",,order1_test8_speaker1
kyle,chocolate,Direct,69.95471584,228.6819489,343.8957874,2,8,1,Imp,give chocolate,Tasha,Paul,140.997,1.795,88.687,1.085,"""more bread""",,order2_test8_speaker1
benny,chocolate,Polite,65.11442571,135.9773928,168.4877813,2,8,2,Please,give chocolate,Tasha,Louis,144.485,2,8.92,1.723,"""e some chocolate. Teach me""",,order1_test5_speaker1
kara,store,Polite,74.72271679,303.4036344,308.1827089,2,9,1,Please IDQ,go to store,Simon,Ashley,148.178,2.565,71.35,2.219,"""shout. Come to the store with me""",,order1_test12_speaker1
danielle,store,Direct,69.39211479,273.1050038,332.0303699,2,9,2,Imp,go to store,Simon,Carla,152.435,2.205,40.934,1.605,"""Please don't shout""",,order2_test5_speaker1
danielle,toys,Polite,69.14065176,224.494642,312.6019973,2,10,1,IDQ,pick up toys,Rick,Franny,156.282,2.257,48.18,1.636,"""ee. Pick up the toys""",,order1_test1_speaker2
kara,toys,Direct,61.95281094,202.8490928,257.6534413,2,10,2,Imp,pick up toys,Rick,Millie,160.231,1.59,73.848,1.097,"""Can you please come to """,,order2_test12_speaker2
kara,water,Direct,59.87928071,184.0502518,245.8413005,2,11,1,Imp,pour water,Fred,Suzy,163.616,1.693,76.829,1.283,"""p the toys. Can you pi""",,order1_test10_speaker2
danielle,water,Polite,70.29972965,236.2479296,295.9367955,2,11,2,Please,pour water,Fred,Jamie,166.847,2.103,52.445,1.86,"""toys. Pour me more""",,order2_test1_speaker2
benny,light,Direct,64.69033543,110.1833095,148.1042208,2,12,1,Imp,turn off light,Anne,Bob,170.54,1.795,15.471,1.023,"""ame. Turn off th""",,order2_test7_speaker2
kyle,light,Polite,70.96523888,113.7068992,212.4304301,2,12,2,Please,turn off light,Anne,Greg,174.079,1.502,97.327,1.097,"""Turn off the light?""",,order1_test6_speaker2
