170719-26,2,0,R,L,mean,nice,1,1,7/19/2017,9:32
170719-26,2,1,L,R,polite,comp,0,1,7/19/2017,9:32
170719-26,2,2,R,L,rude,play,0,0,7/19/2017,9:32
170719-26,2,3,R,L,mean,play,1,1,7/19/2017,9:32
170719-26,2,4,L,R,nice,play,0,1,7/19/2017,9:32
170719-26,2,5,R,L,rude,undefined,1,1,7/19/2017,9:32
170719-26,2,6,L,L,polite,comp,1,1,7/19/2017,9:32
170719-26,2,7,R,L,rude,comp,1,1,7/19/2017,9:32
170719-26,2,8,L,R,nice,play,0,1,7/19/2017,9:32
170719-26,2,9,R,L,mean,comp,1,1,7/19/2017,9:32
170719-26,2,10,R,L,nice,comp,0,1,7/19/2017,9:32
170719-26,2,11,R,L,mean,play,0,0,7/19/2017,9:32
170719-26,2,12,R,L,polite,comp,1,0,7/19/2017,9:32
