170804-35,2,0,R,L,mean,nice,1,1,8/4/2017,9:25
170804-35,2,1,L,R,polite,comp,0,1,8/4/2017,9:25
170804-35,2,2,L,L,rude,play,1,0,8/4/2017,9:25
170804-35,2,3,R,R,mean,play,1,0,8/4/2017,9:25
170804-35,2,4,R,R,nice,play,1,1,8/4/2017,9:25
170804-35,2,5,R,L,rude,undefined,1,1,8/4/2017,9:25
170804-35,2,6,L,L,polite,comp,1,1,8/4/2017,9:25
170804-35,2,7,R,L,rude,comp,1,1,8/4/2017,9:25
170804-35,2,8,R,R,nice,play,1,1,8/4/2017,9:25
170804-35,2,9,R,L,mean,comp,1,1,8/4/2017,9:25
170804-35,2,10,L,L,nice,comp,1,1,8/4/2017,9:25
170804-35,2,11,L,R,mean,play,1,1,8/4/2017,9:25
170804-35,2,12,R,R,polite,comp,1,1,8/4/2017,9:25
