170714-17,1,0,L,R,mean,nice,1,1,7/14/2017,13:22
170714-17,1,1,R,R,polite,play,0,0,7/14/2017,13:22
170714-17,1,2,L,L,nice,comp,1,1,7/14/2017,13:22
170714-17,1,3,L,R,mean,play,1,1,7/14/2017,13:22
170714-17,1,4,L,L,nice,comp,0,0,7/14/2017,13:22
170714-17,1,5,L,R,mean,comp,0,0,7/14/2017,13:22
170714-17,1,6,R,R,polite,play,1,1,7/14/2017,13:22
170714-17,1,7,R,R,nice,play,1,1,7/14/2017,13:22
170714-17,1,8,R,L,mean,play,1,1,7/14/2017,13:22
170714-17,1,9,R,L,rude,comp,0,0,7/14/2017,13:22
170714-17,1,10,R,R,polite,comp,0,0,7/14/2017,13:22
170714-17,1,11,R,L,rude,play,1,1,7/14/2017,13:22
170714-17,1,12,L,R,rude,comp,1,1,7/14/2017,13:22
