170719-24,1,0,L,R,mean,nice,1,1,7/19/2017,8:40
170719-24,1,1,R,L,polite,play,0,1,7/19/2017,8:40
170719-24,1,2,L,L,nice,comp,1,1,7/19/2017,8:40
170719-24,1,3,L,R,mean,play,1,1,7/19/2017,8:40
170719-24,1,4,L,L,nice,comp,0,0,7/19/2017,8:40
170719-24,1,5,L,L,mean,comp,0,1,7/19/2017,8:40
170719-24,1,6,L,R,polite,play,0,1,7/19/2017,8:40
170719-24,1,7,R,L,nice,play,1,0,7/19/2017,8:40
170719-24,1,8,R,L,mean,play,1,1,7/19/2017,8:40
170719-24,1,9,L,R,rude,comp,1,1,7/19/2017,8:40
170719-24,1,10,L,R,polite,comp,1,0,7/19/2017,8:40
170719-24,1,11,L,R,rude,play,0,0,7/19/2017,8:40
170719-24,1,12,R,L,rude,comp,0,0,7/19/2017,8:40
