041117-03,1,0,R,R,mean,nice,0,1,4/11/2017,15:32
041117-03,1,1,L,L,polite,play,1,1,4/11/2017,15:32
041117-03,1,2,L,L,nice,comp,1,1,4/11/2017,15:32
041117-03,1,3,R,R,mean,play,0,1,4/11/2017,15:32
041117-03,1,4,R,L,nice,comp,1,0,4/11/2017,15:32
041117-03,1,5,L,L,mean,comp,0,1,4/11/2017,15:32
041117-03,1,6,R,R,polite,play,1,1,4/11/2017,15:32
041117-03,1,7,R,R,nice,play,1,1,4/11/2017,15:32
041117-03,1,8,L,L,mean,play,0,1,4/11/2017,15:32
041117-03,1,9,R,R,rude,comp,0,1,4/11/2017,15:32
041117-03,1,10,L,L,polite,comp,1,1,4/11/2017,15:32
041117-03,1,11,R,L,rude,play,1,1,4/11/2017,15:32
041117-03,1,12,R,R,rude,comp,0,1,4/11/2017,15:32
